failure_id,equipment_id,failure_date,failure_type,failure_mode,severity_level,downtime_hours,repair_cost,parts_replaced,technician_assigned,failure_description,root_cause_analysis,preventive_action,mtbf_impact,created_at
1,61,2024-10-22 19:18:42,Pneumatic,Overheating,Major,13.07,6312.17,None,Tech-B,Equipment failure requiring 13.1h repair,Under investigation,Process adjustment,40.0,2024-10-22 19:18:42
2,12,2024-12-23 11:14:30,Hydraulic,Controller Failure,Major,5.27,5115.21,Controller,Tech-E,Equipment failure requiring 5.3h repair,Under investigation,Update maintenance schedule,-31.8,2024-12-23 11:14:30
3,16,2024-03-04 05:16:10,Pneumatic,Motor Burnout,Major,1.57,21133.04,Sensor,Tech-D,Equipment failure requiring 1.6h repair,Environmental stress,Update maintenance schedule,49.3,2024-03-04 05:16:10
4,37,2024-10-15 23:18:17,Hydraulic,Bearing Wear,Minor,11.22,1723.57,Motor,Tech-D,Equipment failure requiring 11.2h repair,Manufacturing defect,Operator training,-10.4,2024-10-15 23:18:17
5,56,2024-06-07 19:50:02,Hydraulic,Overheating,Major,16.14,14523.7,Controller,Tech-D,Equipment failure requiring 16.1h repair,Overload condition,Increase inspection frequency,-8.0,2024-06-07 19:50:02
6,55,2024-04-13 14:02:28,Mechanical,Belt Snap,Major,21.43,1309.14,Belt,Tech-B,Equipment failure requiring 21.4h repair,Overload condition,Update maintenance schedule,19.9,2024-04-13 14:02:28
7,50,2024-08-28 07:15:06,Software,Calibration Drift,Major,1.38,15603.24,Belt,Tech-D,Equipment failure requiring 1.4h repair,Wear and tear,Increase inspection frequency,38.3,2024-08-28 07:15:06
8,49,2024-10-16 23:40:06,Electrical,Controller Failure,Critical,8.92,1713.86,Sensor,Tech-E,Equipment failure requiring 8.9h repair,Environmental stress,Increase inspection frequency,-32.1,2024-10-16 23:40:06
9,21,2024-06-28 04:00:33,Hydraulic,Overheating,Minor,4.3,5556.07,Sensor,Tech-B,Equipment failure requiring 4.3h repair,Wear and tear,Update maintenance schedule,11.4,2024-06-28 04:00:33
10,43,2024-09-25 22:36:04,Pneumatic,Overheating,Major,20.47,23103.78,Belt,Tech-D,Equipment failure requiring 20.5h repair,Improper maintenance,Update maintenance schedule,47.2,2024-09-25 22:36:04
