ncm_id,incident_date,product_line,supplier_id,material_type,defect_description,quantity_affected,severity,root_cause,cost_impact,status,created_date
1,2024-01-01,Engine Mounts,23,Nickel Superalloy,Material hardness below specification - failed Rockwell test,115,Major,Incoming inspection escape,6498.24,Closed,2024-01-01 00:00:00
2,2024-01-04,Hydraulic Actuators,17,Ceramic Matrix Composite,Grain structure anomaly - improper heat treatment by supplier,493,Critical,Raw material batch variation,28546.58,Closed,2024-01-04 00:00:00
3,2024-01-05,Control Valves,7,Titanium Alloy Ti-6Al-4V,Material hardness below specification - failed Rockwell test,13,Minor,Raw material batch variation,260.81,Closed,2024-01-05 00:00:00
4,2024-01-06,Turbine Blades,10,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,49,Minor,Raw material batch variation,1959.89,Closed,2024-01-06 00:00:00
5,2024-01-07,Control Valves,24,Aluminum 7075-T6,Grain structure anomaly - improper heat treatment by supplier,424,Critical,Incoming inspection escape,44182.18,Closed,2024-01-07 00:00:00
6,2024-01-11,Engine Mounts,26,Magnesium AZ31B,Dimensional variance exceeds tolerance - undersized bar stock,182,Major,Supplier process deviation,2370.75,Closed,2024-01-11 00:00:00
7,2024-01-11,Composite Panels,19,Inconel 718,Dimensional variance exceeds tolerance - undersized bar stock,47,Minor,Incoming inspection escape,721.73,Closed,2024-01-11 00:00:00
8,2024-01-13,Hydraulic Actuators,20,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,169,Critical,Specification interpretation error,28336.56,Closed,2024-01-13 00:00:00
9,2024-01-14,Landing Gear,14,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,40,Minor,Supplier process deviation,1892.23,Closed,2024-01-14 00:00:00
10,2024-01-15,Sensor Assemblies,28,Copper C110,Grain structure anomaly - improper heat treatment by supplier,21,Major,Supplier process deviation,5805.53,Under Review,2024-01-15 00:00:00
11,2024-01-15,Composite Panels,20,Copper C110,Lot traceability documentation incomplete,154,Major,Transportation damage,1904.54,Closed,2024-01-15 00:00:00
12,2024-01-16,Precision Bearings,30,Magnesium AZ31B,Chemical composition out of spec - carbon content high,457,Critical,Raw material batch variation,18932.9,Closed,2024-01-16 00:00:00
13,2024-01-16,Hydraulic Actuators,23,Magnesium AZ31B,Storage damage - corrosion from improper handling,38,Major,Documentation error,3029.84,Closed,2024-01-16 00:00:00
14,2024-01-17,Turbine Blades,4,Inconel 718,Surface contamination detected - oil residue on raw stock,303,Critical,Specification interpretation error,27329.03,Under Review,2024-01-17 00:00:00
15,2024-01-20,Hydraulic Actuators,3,Ceramic Matrix Composite,Storage damage - corrosion from improper handling,220,Critical,Raw material batch variation,11597.57,Closed,2024-01-20 00:00:00
16,2024-01-21,Engine Mounts,7,Inconel 718,Chemical composition out of spec - carbon content high,70,Critical,Incoming inspection escape,14448.52,Under Review,2024-01-21 00:00:00
17,2024-01-21,Engine Mounts,28,Magnesium AZ31B,Certificate of Conformance missing required test data,20,Major,Supplier process deviation,5949.55,Closed,2024-01-21 00:00:00
18,2024-01-22,Composite Panels,24,Titanium Alloy Ti-6Al-4V,Lot traceability documentation incomplete,211,Critical,Supplier change notification missed,39851.01,Closed,2024-01-22 00:00:00
19,2024-01-23,Landing Gear,3,Copper C110,Surface contamination detected - oil residue on raw stock,196,Major,Specification interpretation error,6668.87,Closed,2024-01-23 00:00:00
20,2024-01-24,Hydraulic Actuators,8,Nickel Superalloy,Grain structure anomaly - improper heat treatment by supplier,10,Minor,Incoming inspection escape,1226.87,Closed,2024-01-24 00:00:00
21,2024-01-24,Landing Gear,2,Copper C110,Material substitution without engineering approval,37,Minor,Raw material batch variation,1610.09,Pending Disposition,2024-01-24 00:00:00
22,2024-01-25,Landing Gear,26,Ceramic Matrix Composite,Certificate of Conformance missing required test data,135,Major,Documentation error,9056.78,Closed,2024-01-25 00:00:00
23,2024-01-25,Landing Gear,8,Titanium Alloy Ti-6Al-4V,Material hardness below specification - failed Rockwell test,145,Major,Incoming inspection escape,1422.02,Closed,2024-01-25 00:00:00
24,2024-01-27,Turbine Blades,8,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,24,Minor,Storage condition failure,691.82,Pending Disposition,2024-01-27 00:00:00
25,2024-01-27,Hydraulic Actuators,30,Carbon Fiber Composite,Storage damage - corrosion from improper handling,326,Critical,Supplier change notification missed,8664.57,Under Review,2024-01-27 00:00:00
26,2024-01-29,Turbine Blades,24,Nickel Superalloy,Chemical composition out of spec - carbon content high,470,Critical,Supplier process deviation,28118.37,Closed,2024-01-29 00:00:00
27,2024-01-29,Engine Mounts,22,Inconel 718,Storage damage - corrosion from improper handling,14,Minor,Documentation error,1126.92,Closed,2024-01-29 00:00:00
28,2024-01-31,Composite Panels,10,Copper C110,Certificate of Conformance missing required test data,18,Minor,Transportation damage,1240.59,Closed,2024-01-31 00:00:00
29,2024-02-04,Precision Bearings,15,Titanium Alloy Ti-6Al-4V,Certificate of Conformance missing required test data,148,Major,Specification interpretation error,8650.04,Closed,2024-02-04 00:00:00
