defect_id,product_line,production_date,defect_type,defect_count,total_produced,defect_rate,severity,root_cause,created_date
1,Turbine Blades,2024-01-01,Dimensional Out-of-Spec,13,452,0.0288,Critical,Machine calibration,2024-01-01 00:00:00
2,Composite Panels,2024-01-01,Porosity,0,449,0.0,Critical,Process deviation,2024-01-01 00:00:00
3,Hydraulic Actuators,2024-01-02,Missing Component,21,544,0.0386,Critical,Environmental factors,2024-01-02 00:00:00
4,Composite Panels,2024-01-02,Incorrect Assembly,24,686,0.035,Major,Machine calibration,2024-01-02 00:00:00
5,Turbine Blades,2024-01-04,Coating Failure,30,675,0.0444,Critical,Machine calibration,2024-01-04 00:00:00
6,Control Valves,2024-01-05,Incorrect Assembly,33,926,0.0356,Minor,Operator error,2024-01-05 00:00:00
7,Control Valves,2024-01-07,Coating Failure,17,895,0.019,Minor,Material variance,2024-01-07 00:00:00
8,Control Valves,2024-01-07,Porosity,19,701,0.0271,Major,Machine calibration,2024-01-07 00:00:00
9,Engine Mounts,2024-01-10,Surface Scratch,14,870,0.0161,Critical,Machine calibration,2024-01-10 00:00:00
10,Composite Panels,2024-01-11,Surface Scratch,2,498,0.004,Critical,Process deviation,2024-01-11 00:00:00
11,Control Valves,2024-01-11,Weld Defect,1,176,0.0057,Minor,Operator error,2024-01-11 00:00:00
12,Turbine Blades,2024-01-11,Coating Failure,1,149,0.0067,Minor,Tool wear,2024-01-11 00:00:00
13,Landing Gear,2024-01-12,Thread Damage,20,400,0.05,Critical,Machine calibration,2024-01-12 00:00:00
14,Sensor Assemblies,2024-01-12,Coating Failure,7,155,0.0452,Critical,Machine calibration,2024-01-12 00:00:00
15,Engine Mounts,2024-01-13,Material Contamination,26,757,0.0343,Critical,Machine calibration,2024-01-13 00:00:00
16,Control Valves,2024-01-14,Missing Component,17,752,0.0226,Critical,Process deviation,2024-01-14 00:00:00
17,Engine Mounts,2024-01-14,Missing Component,19,553,0.0344,Major,Material variance,2024-01-14 00:00:00
18,Hydraulic Actuators,2024-01-16,Coating Failure,25,843,0.0297,Minor,Material variance,2024-01-16 00:00:00
